Offering ID,Registration Bus Id,DimScopeDwKey,Date,Course Code,Course Title (en),Offering Delivery Type (en),Offering Language,Confirmed Registrations,Registration Status (en),Organization (en),Job Classification (group)
128101,regdw000000004668313,2,2020-09-14 0:00:00,I638,The Essential Role of the Agile Product Owner (I638),Online - Self-paced,English/Anglais,0,Confirmed,Department of Fisheries and Oceans,AS
128105,regdw000000004667985,2,2020-09-14 0:00:00,I629,Transforming the Workplace Using Artificial Intelligence (I629),Online - Self-paced,English/Anglais,0,Confirmed,Canada Revenue Agency,AU
128130,regdw000000004673806,2,2020-09-16 0:00:00,I614,Using Augmented Reality for Organizational Gains (I614),Online - Self-paced,English/Anglais,0,Confirmed,Canada Revenue Agency,AU
128130,regdw000000004675054,2,2020-09-16 0:00:00,I614,Using Augmented Reality for Organizational Gains (I614),Online - Self-paced,English/Anglais,0,Confirmed,Environment and Climate Change Canada,EG
128105,regdw000000004670231,2,2020-09-15 0:00:00,I629,Transforming the Workplace Using Artificial Intelligence (I629),Online - Self-paced,English/Anglais,0,Confirmed,National Research Council of Canada,TO
128112,regdw000000004660413,2,2020-09-10 0:00:00,I524,Turning Social Intelligence into Actionable Insight (I524),Online - Self-paced,English/Anglais,0,Confirmed,Department of National Defence (Civilian),CR
128112,regdw000000004663246,2,2020-09-11 0:00:00,I524,Turning Social Intelligence into Actionable Insight (I524),Online - Self-paced,English/Anglais,0,Confirmed,Veterans Affairs Canada,CR
128112,regdw000000004665431,2,2020-09-13 0:00:00,I524,Turning Social Intelligence into Actionable Insight (I524),Online - Self-paced,English/Anglais,0,Confirmed,Canadian Food Inspection Agency,EG
128112,regdw000000004667451,2,2020-09-14 0:00:00,I524,Turning Social Intelligence into Actionable Insight (I524),Online - Self-paced,English/Anglais,0,Confirmed,Canada Revenue Agency,AU
127863,regdw000000004632655,2,2020-08-31 0:00:00,I623,Embracing the Cloud for Business Efficiency (I623),Online - Self-paced,English/Anglais,0,Confirmed,Canada School of Public Service,CS
127863,regdw000000004652058,2,2020-09-04 0:00:00,I623,Embracing the Cloud for Business Efficiency (I623),Online - Self-paced,English/Anglais,0,Confirmed,Canada School of Public Service,AS
127863,regdw000000004660970,2,2020-09-10 0:00:00,I623,Embracing the Cloud for Business Efficiency (I623),Online - Self-paced,English/Anglais,0,Confirmed,Canada Revenue Agency,AU
