Department (en),Learner Province (en),Date,Course Code,Course Title (en),Offering Delivery Type (en),Offering Language,Registration No Show Flag,Registration Status (en),Offering Status,Instructor Name
Department of Veterans Affairs,Prince Edward Island,2020-09-08 0:00,I557,Developing and Supporting an Agile Mind-set (I557),Online - Self-paced,French/Français,0,Confirmed,N/a,Unknown
Department of Veterans Affairs,Prince Edward Island,2020-09-09 0:00,I502,Best Practices for Digital Transformation (I502),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Department of Veterans Affairs,Prince Edward Island,2020-09-09 0:00,I557,Developing and Supporting an Agile Mind-set (I557),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Department of Veterans Affairs,Prince Edward Island,2020-09-09 0:00,I612,How Blockchain Technology is Transforming Businesses (I612),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Department of Veterans Affairs,Prince Edward Island,2020-09-10 0:00,I611,Connecting with the Internet of Things (I611),Online - Self-paced,French/Français,0,Confirmed,N/a,Unknown
Department of Veterans Affairs,Prince Edward Island,2020-09-10 0:00,I623,Embracing the Cloud for Business Efficiency (I623),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Department of Veterans Affairs,Prince Edward Island,2020-09-11 0:00,I524,Turning Social Intelligence into Actionable Insight (I524),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Department of Veterans Affairs,Prince Edward Island,2020-09-11 0:00,I607,Exploring Customer Journey Mapping (I607),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Department of Veterans Affairs,Prince Edward Island,2020-09-14 0:00,I607,Exploring Customer Journey Mapping (I607),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Department of Veterans Affairs,Prince Edward Island,2020-09-15 0:00,I613,Creating Engagement with Virtual Reality (I613),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Department of Veterans Affairs,Prince Edward Island,2020-09-18 0:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Department of Veterans Affairs,Prince Edward Island,2020-09-18 0:00,I632,Agile Principles and Methodologies (I632),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Department of Veterans Affairs,Prince Edward Island,2020-09-21 0:00,I633,Agile Project Scheduling and Monitoring (I633),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Department of Veterans Affairs,Prince Edward Island,2020-09-22 0:00,I503,Agile Project Planning (I503),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Department of Veterans Affairs,Prince Edward Island,2020-09-23 0:00,I605,Building a Culture of Design Thinking (I605),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Department of Veterans Affairs,Prince Edward Island,2020-09-23 0:00,I632,Agile Principles and Methodologies (I632),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Department of Veterans Affairs,Prince Edward Island,2020-10-05 0:00,I621,Getting Started with Cloud Computing (I621),Virtual Classroom,French/Français,0,Cancelled,Open - Normal,Unknown
Department of Veterans Affairs,Prince Edward Island,2020-10-05 0:00,I621,Getting Started with Cloud Computing (I621),Virtual Classroom,French/Français,0,Confirmed,Open - Normal,Unknown
Department of Veterans Affairs,Prince Edward Island,2020-10-13 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Jean-Marc Dupont
Department of Veterans Affairs,Prince Edward Island,2020-10-30 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Richard Landry
Department of Veterans Affairs,Prince Edward Island,2020-11-06 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Richard Landry
Department of Veterans Affairs,Prince Edward Island,2020-11-16 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Jean-Marc Dupont
Department of Veterans Affairs,Prince Edward Island,2020-11-18 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Isa David
Department of Veterans Affairs,Prince Edward Island,2020-12-02 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Richard Landry
Department of Veterans Affairs,Quebec,2020-07-20 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,French/Français,0,Confirmed,Delivered - Normal,"Daniel Richer, Richard Landry"
Department of Veterans Affairs,Quebec,2020-10-05 0:00,I621,Getting Started with Cloud Computing (I621),Virtual Classroom,French/Français,0,Confirmed,Open - Normal,Unknown
Department of Western Economic Diversification,Ontario_NCR,2020-07-29 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,1,Cancelled,Delivered - Normal,"Elizabeth McKeown, Jean-Marc Dupont"
Economic Development Agency of Canada for the Regions of Quebec,Quebec,2020-07-20 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,French/Français,0,Confirmed,Delivered - Normal,"Daniel Richer, Richard Landry"
Economic Development Agency of Canada for the Regions of Quebec,Quebec,2020-09-15 0:00,I602,Digital in Practice (I602),Virtual Classroom,French/Français,0,Cancelled,Delivered - Normal,Isa David
Economic Development Agency of Canada for the Regions of Quebec,Quebec,2020-09-15 0:00,I602,Digital in Practice (I602),Virtual Classroom,French/Français,0,Confirmed,Delivered - Normal,Isa David
Economic Development Agency of Canada for the Regions of Quebec,Quebec,2020-10-19 0:00,I602,Digital in Practice (I602),Virtual Classroom,French/Français,0,Confirmed,Open - Normal,Jean-Marc Dupont
Economic Development Agency of Canada for the Regions of Quebec,Quebec,2020-11-09 0:00,I602,Digital in Practice (I602),Virtual Classroom,French/Français,0,Confirmed,Open - Normal,Isa David
Economic Development Agency of Canada for the Regions of Quebec,Quebec,2020-12-07 0:00,I602,Digital in Practice (I602),Virtual Classroom,French/Français,0,Confirmed,Open - Normal,Isa David
Economic Development Agency of Canada for the Regions of Quebec,Québec_NCR,2020-11-09 0:00,I602,Digital in Practice (I602),Virtual Classroom,French/Français,0,Confirmed,Open - Normal,Isa David
Environment and Climate Change Canada,Alberta,2020-09-10 0:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Environment and Climate Change Canada,Alberta,2020-09-22 0:00,I613,Creating Engagement with Virtual Reality (I613),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Environment and Climate Change Canada,British Columbia,2020-07-06 0:00,I621,Getting Started with Cloud Computing (I621),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Unknown
Environment and Climate Change Canada,British Columbia,2020-08-06 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,1,Cancelled,Delivered - Normal,"Elizabeth McKeown, Jean-Marc Dupont"
Environment and Climate Change Canada,NCR/RCN,2020-09-14 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Confirmed,Delivered - Normal,"Elizabeth McKeown, Felicity Mulgan"
Environment and Climate Change Canada,Ontario,2020-07-06 0:00,I621,Getting Started with Cloud Computing (I621),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Unknown
Environment and Climate Change Canada,Ontario,2020-08-17 0:00,I615,Applying Virtual Assistant Technology (I615),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Environment and Climate Change Canada,Ontario,2020-09-09 0:00,I632,Agile Principles and Methodologies (I632),Online - Self-paced,English/Anglais,0,Cancelled,N/a,Unknown
Environment and Climate Change Canada,Ontario,2020-09-09 0:00,I635,Cultivating Enterprise Agile (I635),Online - Self-paced,English/Anglais,0,Cancelled,N/a,Unknown
Environment and Climate Change Canada,Ontario,2020-09-11 0:00,I524,Turning Social Intelligence into Actionable Insight (I524),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Environment and Climate Change Canada,Ontario,2020-09-14 0:00,I610,Achieving Customer-centric Design with User Personas (I610),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Environment and Climate Change Canada,Ontario,2020-09-15 0:00,I503,Agile Project Planning (I503),Online - Self-paced,English/Anglais,0,Cancelled,N/a,Unknown
Environment and Climate Change Canada,Ontario,2020-09-15 0:00,I633,Agile Project Scheduling and Monitoring (I633),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Environment and Climate Change Canada,Ontario,2020-09-16 0:00,I614,Using Augmented Reality for Organizational Gains (I614),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Environment and Climate Change Canada,Ontario,2020-09-16 0:00,I615,Applying Virtual Assistant Technology (I615),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Environment and Climate Change Canada,Ontario,2020-09-16 0:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Environment and Climate Change Canada,Ontario,2020-09-21 0:00,I558,Agile Stakeholder Engagement and Team Development (I558),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Environment and Climate Change Canada,Ontario,2020-10-05 0:00,I621,Getting Started with Cloud Computing (I621),Virtual Classroom,French/Français,0,Confirmed,Open - Normal,Unknown
Environment and Climate Change Canada,Ontario,2020-11-16 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Jean-Marc Dupont
Environment and Climate Change Canada,Ontario,2021-01-12 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Elizabeth McKeown
Environment and Climate Change Canada,Ontario,2021-01-22 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Cancelled,Open - Normal,Jean-Marc Dupont
Environment and Climate Change Canada,Ontario_NCR,2020-07-06 0:00,I621,Getting Started with Cloud Computing (I621),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Unknown
Environment and Climate Change Canada,Ontario_NCR,2021-01-14 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Elizabeth McKeown
Environment and Climate Change Canada,Quebec,2020-09-08 0:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,French/Français,0,Confirmed,N/a,Unknown
Environment and Climate Change Canada,Quebec,2020-09-09 0:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,French/Français,0,Confirmed,N/a,Unknown
Environment and Climate Change Canada,Quebec,2020-09-15 0:00,I602,Digital in Practice (I602),Virtual Classroom,French/Français,0,Confirmed,Delivered - Normal,Isa David
Environment and Climate Change Canada,Quebec,2020-09-15 0:00,I615,Applying Virtual Assistant Technology (I615),Online - Self-paced,French/Français,0,Confirmed,N/a,Unknown
Environment and Climate Change Canada,Quebec,2020-09-22 0:00,I605,Building a Culture of Design Thinking (I605),Online - Self-paced,French/Français,0,Confirmed,N/a,Unknown
Environment and Climate Change Canada,Quebec,2020-09-22 0:00,I623,Embracing the Cloud for Business Efficiency (I623),Online - Self-paced,French/Français,0,Confirmed,N/a,Unknown
Environment and Climate Change Canada,Quebec,2020-09-23 0:00,I615,Applying Virtual Assistant Technology (I615),Online - Self-paced,French/Français,0,Confirmed,N/a,Unknown
Environment and Climate Change Canada,Quebec,2020-09-28 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,"Daniel Richer, Felicity Mulgan"
Environment and Climate Change Canada,Quebec,2020-10-05 0:00,I621,Getting Started with Cloud Computing (I621),Virtual Classroom,French/Français,0,Confirmed,Open - Normal,Unknown
Environment and Climate Change Canada,Quebec,2020-10-13 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Jean-Marc Dupont
Environment and Climate Change Canada,Quebec,2020-11-09 0:00,I602,Digital in Practice (I602),Virtual Classroom,French/Français,0,Confirmed,Open - Normal,Isa David
Environment and Climate Change Canada,Québec_NCR,2020-07-09 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Cancelled,Delivered - Normal,Elizabeth McKeown
Environment and Climate Change Canada,Québec_NCR,2020-09-18 0:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Environment and Climate Change Canada,Québec_NCR,2020-09-21 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,French/Français,0,Cancelled,Delivered - Normal,"Daniel Richer, Jean-Marc Dupont"
Environment and Climate Change Canada,Québec_NCR,2020-09-21 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,French/Français,0,Confirmed,Delivered - Normal,"Daniel Richer, Jean-Marc Dupont"
Environment and Climate Change Canada,Québec_NCR,2020-09-21 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,French/Français,1,Cancelled,Delivered - Normal,"Daniel Richer, Jean-Marc Dupont"
Environment and Climate Change Canada,Québec_NCR,2020-09-22 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Jean-Marc Dupont
Environment and Climate Change Canada,Québec_NCR,2020-09-25 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,French/Français,0,Cancelled,Open - Normal,"Daniel Richer, Jean-Marc Dupont"
Environment and Climate Change Canada,Québec_NCR,2020-09-28 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Cancelled,Open - Normal,"Daniel Richer, Felicity Mulgan"
Environment and Climate Change Canada,Québec_NCR,2020-10-05 0:00,I621,Getting Started with Cloud Computing (I621),Virtual Classroom,French/Français,0,Cancelled,Open - Normal,Unknown
Environment and Climate Change Canada,Québec_NCR,2020-10-05 0:00,I621,Getting Started with Cloud Computing (I621),Virtual Classroom,French/Français,0,Confirmed,Open - Normal,Unknown
Environment and Climate Change Canada,Québec_NCR,2020-10-13 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Jean-Marc Dupont
Environment and Climate Change Canada,Québec_NCR,2020-10-14 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Elizabeth McKeown
Environment and Climate Change Canada,Québec_NCR,2020-11-06 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Richard Landry
Environment and Climate Change Canada,Québec_NCR,2020-11-18 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Isa David
Federal Economic Development Agency for Southern Ontario,Ontario_NCR,2020-08-06 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Confirmed,Delivered - Normal,"Elizabeth McKeown, Jean-Marc Dupont"
Federal Economic Development Agency for Southern Ontario,Ontario_NCR,2020-08-27 0:00,I501,Discover Digital for Executives Module #4 - Share your learning experience: Peer Connect (I501),Virtual Classroom,French/Français,0,Cancelled - Class Cancelled,Cancelled - Normal,Unknown
Federal Economic Development Agency for Southern Ontario,Ontario_NCR,2020-09-14 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,1,Cancelled,Delivered - Normal,"Elizabeth McKeown, Felicity Mulgan"
Federal Economic Development Agency for Southern Ontario,Ontario_NCR,2020-09-30 0:00,I501,Discover Digital for Executives Module #4 - Share your learning experience: Peer Connect (I501),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Richard Landry
Financial Transactions and Reports Analysis Centre of Canada,Ontario_NCR,2020-08-13 0:00,I610,Achieving Customer-centric Design with User Personas (I610),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Financial Transactions and Reports Analysis Centre of Canada,Ontario_NCR,2020-08-13 0:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Financial Transactions and Reports Analysis Centre of Canada,Ontario_NCR,2020-08-13 0:00,I633,Agile Project Scheduling and Monitoring (I633),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Financial Transactions and Reports Analysis Centre of Canada,Ontario_NCR,2020-08-14 0:00,I615,Applying Virtual Assistant Technology (I615),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Financial Transactions and Reports Analysis Centre of Canada,Ontario_NCR,2020-10-14 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Elizabeth McKeown
Financial Transactions and Reports Analysis Centre of Canada,Ontario_NCR,2020-11-20 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Richard Landry
Financial Transactions and Reports Analysis Centre of Canada,Ontario_NCR,2020-12-15 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Elizabeth McKeown
Financial Transactions and Reports Analysis Centre of Canada,Quebec,2020-08-11 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,French/Français,0,Cancelled - Class Cancelled,Cancelled - Normal,Unknown
Financial Transactions and Reports Analysis Centre of Canada,Quebec,2020-09-21 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,French/Français,0,Cancelled,Delivered - Normal,"Daniel Richer, Jean-Marc Dupont"
Immigration and Refugee Board,Ontario,2020-08-18 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Cancelled,Cancelled - Normal,Unknown
Immigration and Refugee Board,Ontario,2020-08-19 0:00,I557,Developing and Supporting an Agile Mind-set (I557),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Immigration and Refugee Board,Ontario,2020-08-19 0:00,I613,Creating Engagement with Virtual Reality (I613),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Immigration and Refugee Board,Ontario,2020-08-27 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Cancelled,Delivered - Normal,"Elizabeth McKeown, Jean-Marc Dupont"
Immigration and Refugee Board,Ontario,2020-09-10 0:00,I605,Building a Culture of Design Thinking (I605),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Immigration and Refugee Board,Ontario,2020-09-15 0:00,I558,Agile Stakeholder Engagement and Team Development (I558),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Immigration and Refugee Board,Ontario,2020-09-15 0:00,I633,Agile Project Scheduling and Monitoring (I633),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Immigration and Refugee Board,Ontario,2020-09-16 0:00,I503,Agile Project Planning (I503),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Immigration and Refugee Board,Ontario,2020-09-16 0:00,I556,Embracing an Agile Culture for Business Growth (I556),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Immigration and Refugee Board,Ontario,2020-09-17 0:00,I519,Exploring Data Visualization (I519),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Immigration and Refugee Board,Ontario,2020-09-18 0:00,I607,Exploring Customer Journey Mapping (I607),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Immigration and Refugee Board,Ontario,2020-09-28 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,"Daniel Richer, Felicity Mulgan"
Immigration and Refugee Board,Ontario,2020-10-05 0:00,I621,Getting Started with Cloud Computing (I621),Virtual Classroom,French/Français,0,Cancelled,Open - Normal,Unknown
Immigration and Refugee Board,Ontario,2020-11-18 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Isa David
Immigration and Refugee Board,Ontario_NCR,2020-07-06 0:00,I621,Getting Started with Cloud Computing (I621),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Unknown
Immigration and Refugee Board,Ontario_NCR,2020-10-05 0:00,I621,Getting Started with Cloud Computing (I621),Virtual Classroom,French/Français,0,Confirmed,Open - Normal,Unknown
Immigration and Refugee Board,Quebec,2020-09-23 0:00,I524,Turning Social Intelligence into Actionable Insight (I524),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Immigration and Refugee Board,Quebec,2020-10-21 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Jean-Marc Dupont
Indian Oil and Gas Canada,Alberta,2020-09-17 0:00,I615,Applying Virtual Assistant Technology (I615),Online - Self-paced,English/Anglais,0,Cancelled,N/a,Unknown
Library and Archives of Canada,Québec_NCR,2020-07-09 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Confirmed,Delivered - Normal,Elizabeth McKeown
Library and Archives of Canada,Québec_NCR,2020-08-06 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Confirmed,Delivered - Normal,"Elizabeth McKeown, Jean-Marc Dupont"
Library and Archives of Canada,Québec_NCR,2020-08-11 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,French/Français,0,Cancelled - Class Cancelled,Cancelled - Normal,Unknown
Library and Archives of Canada,Québec_NCR,2020-09-08 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Cancelled,Cancelled - Normal,Unknown
Library and Archives of Canada,Québec_NCR,2020-09-15 0:00,I610,Achieving Customer-centric Design with User Personas (I610),Online - Self-paced,English/Anglais,0,Cancelled,N/a,Unknown
Library and Archives of Canada,Québec_NCR,2020-09-15 0:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Cancelled,N/a,Unknown
Library and Archives of Canada,Québec_NCR,2020-09-21 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,French/Français,1,Cancelled,Delivered - Normal,"Daniel Richer, Jean-Marc Dupont"
Library and Archives of Canada,Québec_NCR,2020-09-28 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,"Daniel Richer, Felicity Mulgan"
Library and Archives of Canada,Québec_NCR,2020-10-19 0:00,I602,Digital in Practice (I602),Virtual Classroom,French/Français,0,Confirmed,Open - Normal,Jean-Marc Dupont
Library and Archives of Canada,Québec_NCR,2020-10-21 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Jean-Marc Dupont
Library and Archives of Canada,Québec_NCR,2020-11-09 0:00,I602,Digital in Practice (I602),Virtual Classroom,French/Français,0,Confirmed,Open - Normal,Isa David
Military Grievances External Review Committee,Ontario_NCR,2020-09-15 0:00,I602,Digital in Practice (I602),Virtual Classroom,French/Français,0,Confirmed,Delivered - Normal,Isa David
Military Police Complaints Commission,Ontario_NCR,2020-07-06 0:00,I621,Getting Started with Cloud Computing (I621),Virtual Classroom,English/Anglais,0,Cancelled,Open - Normal,Unknown
Military Police Complaints Commission,Ontario_NCR,2020-07-06 0:00,I621,Getting Started with Cloud Computing (I621),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Unknown
Military Police Complaints Commission,Ontario_NCR,2020-08-06 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Confirmed,Delivered - Normal,"Elizabeth McKeown, Jean-Marc Dupont"
Military Police Complaints Commission,Ontario_NCR,2020-09-08 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Cancelled,Cancelled - Normal,Unknown
Military Police Complaints Commission,Ontario_NCR,2020-09-28 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Cancelled,Open - Normal,"Daniel Richer, Felicity Mulgan"
Military Police Complaints Commission,Ontario_NCR,2020-09-28 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,"Daniel Richer, Felicity Mulgan"
National Capital Commission,Ontario_NCR,2020-10-05 0:00,I621,Getting Started with Cloud Computing (I621),Virtual Classroom,French/Français,0,Confirmed,Open - Normal,Unknown
National Energy Board,Alberta,2020-11-16 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Jean-Marc Dupont
National Energy Board,Alberta,2020-12-02 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Richard Landry
National Research Council of Canada,NCR/RCN,2020-11-18 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Isa David
National Research Council of Canada,Ontario_NCR,2020-07-29 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Confirmed,Delivered - Normal,"Elizabeth McKeown, Jean-Marc Dupont"
National Research Council of Canada,Ontario_NCR,2020-08-27 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Cancelled,Delivered - Normal,"Elizabeth McKeown, Jean-Marc Dupont"
National Research Council of Canada,Ontario_NCR,2020-09-09 0:00,I503,Agile Project Planning (I503),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
National Research Council of Canada,Ontario_NCR,2020-09-09 0:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
National Research Council of Canada,Ontario_NCR,2020-09-14 0:00,I520,Big Data Fundamentals (I520),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
National Research Council of Canada,Ontario_NCR,2020-09-14 0:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
National Research Council of Canada,Ontario_NCR,2020-09-14 0:00,I632,Agile Principles and Methodologies (I632),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
National Research Council of Canada,Ontario_NCR,2020-09-15 0:00,I629,Transforming the Workplace Using Artificial Intelligence (I629),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
National Research Council of Canada,Ontario_NCR,2020-09-22 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Cancelled,Open - Normal,Jean-Marc Dupont
National Research Council of Canada,Ontario_NCR,2020-09-22 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Jean-Marc Dupont
National Research Council of Canada,Ontario_NCR,2020-10-19 0:00,I602,Digital in Practice (I602),Virtual Classroom,French/Français,0,Confirmed,Open - Normal,Jean-Marc Dupont
Natural Sciences and Engineering Research Council,Ontario_NCR,2020-07-06 0:00,I621,Getting Started with Cloud Computing (I621),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Unknown
Natural Sciences and Engineering Research Council,Ontario_NCR,2020-07-17 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Confirmed,Delivered - Normal,"Elizabeth McKeown, Richard Landry"
Natural Sciences and Engineering Research Council,Ontario_NCR,2020-08-06 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,1,Cancelled,Delivered - Normal,"Elizabeth McKeown, Jean-Marc Dupont"
Natural Sciences and Engineering Research Council,Ontario_NCR,2020-10-05 0:00,I621,Getting Started with Cloud Computing (I621),Virtual Classroom,French/Français,0,Confirmed,Open - Normal,Unknown
Office of Infrastructure of Canada,Ontario_NCR,2020-07-29 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Confirmed,Delivered - Normal,"Elizabeth McKeown, Jean-Marc Dupont"
Office of Infrastructure of Canada,Ontario_NCR,2020-07-29 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,1,Cancelled,Delivered - Normal,"Elizabeth McKeown, Jean-Marc Dupont"
Office of Infrastructure of Canada,Ontario_NCR,2020-08-27 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Confirmed,Delivered - Normal,"Elizabeth McKeown, Jean-Marc Dupont"
Office of Infrastructure of Canada,Ontario_NCR,2020-09-14 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Confirmed,Delivered - Normal,"Elizabeth McKeown, Felicity Mulgan"
