Department (en),Learner Province (en),Date,Course Code,Course Title (en),Offering Delivery Type (en),Offering Language,Registration No Show Flag,Registration Status (en),Offering Status,Instructor Name
Canada Revenue Agency,British Columbia,2020-09-06 0:00,I632,Agile Principles and Methodologies (I632),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,British Columbia,2020-09-06 0:00,I633,Agile Project Scheduling and Monitoring (I633),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,British Columbia,2020-09-08 0:00,I558,Agile Stakeholder Engagement and Team Development (I558),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,British Columbia,2020-09-08 0:00,I613,Creating Engagement with Virtual Reality (I613),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,British Columbia,2020-09-08 0:00,I615,Applying Virtual Assistant Technology (I615),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,British Columbia,2020-09-09 0:00,I502,Best Practices for Digital Transformation (I502),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,British Columbia,2020-09-09 0:00,I503,Agile Project Planning (I503),Online - Self-paced,English/Anglais,0,Cancelled,N/a,Unknown
Canada Revenue Agency,British Columbia,2020-09-09 0:00,I520,Big Data Fundamentals (I520),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,British Columbia,2020-09-09 0:00,I557,Developing and Supporting an Agile Mind-set (I557),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,British Columbia,2020-09-09 0:00,I605,Building a Culture of Design Thinking (I605),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,British Columbia,2020-09-09 0:00,I611,Connecting with the Internet of Things (I611),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,British Columbia,2020-09-09 0:00,I613,Creating Engagement with Virtual Reality (I613),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,British Columbia,2020-09-09 0:00,I632,Agile Principles and Methodologies (I632),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,British Columbia,2020-09-09 0:00,I634,Cultivating Cross-functional Team Collaboration (I634),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,British Columbia,2020-09-09 0:00,I635,Cultivating Enterprise Agile (I635),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,British Columbia,2020-09-10 0:00,I519,Exploring Data Visualization (I519),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,British Columbia,2020-09-10 0:00,I556,Embracing an Agile Culture for Business Growth (I556),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,British Columbia,2020-09-10 0:00,I557,Developing and Supporting an Agile Mind-set (I557),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,British Columbia,2020-09-10 0:00,I607,Exploring Customer Journey Mapping (I607),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
